Easting,Northing,Name,T/A,Grant Number,Driller,Date Drilled,Abstraction Volume per day,District,Borehole Depth,Static Water Level,Yield l/s,Status,Functionality,Permanent Casing Diameter,Type of Pump Installed,Water Point Use,Licenced,Well Development Duration,Pump Capacity,Pump Installed Depth,Main Water Strike Depth (MBGL),DWL,Turbidity,Temp,Conductivity,pH,Alkalinity,Hardness,Calcium,Magnesium,Sodium,Potassium,Carbonate,Bicarbonate,Sulphate,Nitrate,Ammonium,Iron,Manganese,Flouride,Dissolved_Solids,Chlorine,Suspended_Solids,Facaeal,E. Coli
549316,8493796,Paima,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549363,8496799,Mgomo,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549406,8488082,Mphepo,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549434,8493260,Kabadwa,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549523,8487979,Kalindang'oma,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549631,8497240,Kamakhula,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549714,8492257,Chisepo 1,Chisepo,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549725,8495878,Katawa,SC Kayembe,,Sawa Group,8/18/2016,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549743,8506189,Nkhongwa,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549752,8491519,Sani,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549953,8491005,Chibanda,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549999,8490788,Chimamba,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550056,8496309,Kapolozimu,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550165,8488644,Ng'onga,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550169,8496036,Katawa,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550235,8487379,Kalombo,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550288,8525708,Mphamba pump 2,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550294,8505117,Kamata,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550298,8526710,Chilinkholi,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
